Lugar_ID,Ciudad,GobAdmin_2,GobAdmin_1,Nacion,Longitud,Latitud
FR35,Moncontour,Cotes-d'Armor,Bretagne,7,-2.63149,48.361272
FR36,Lorient,Morbihan,Bretagne,7,-3.3702449,47.7482524
FR37,Sancerre,Cher,Centre,7,2.839867,47.329583
FR38,Auneau,Eure-et-Loir,Centre,7,1.773238,48.4622839
FR39,Chartres,Eure-et-Loir,Centre,7,1.489012,48.443854
FR40,Dreux,Eure-et-Loir,Centre,7,1.370889,48.736134
FR41,Tours,Indre-et-Loire,Centre,7,0.68484,47.394144
FR42,Orleans,Loiret,Centre,7,1.909251,47.902964
FR43,Vimory,Loiret,Centre,7,2.676921,47.94444
FR44,Bievres,Ardennes,Champagne-Ardenne,7,5.264767,49.55626
FR45,Rocroi,Ardennes,Champagne-Ardenne,7,4.519757,49.925149
FR46,Sedan,Ardennes,Champagne-Ardenne,7,4.93863,49.70349
FR47,Troyes,Aube,Champagne-Ardenne,7,4.0744009,48.2973451
FR48,Langres,Haute-Marne,Champagne-Ardenne,7,5.334297,47.86683
FR49,Wassy,Haute-Marne,Champagne-Ardenne,7,4.948753,48.499508
FR50,Chalons-sur-Marne,Marne,Champagne-Ardenne,7,4.363073,48.956682
FR51,Dormans,Marne,Champagne-Ardenne,7,3.638479,49.07464
FR52,Baume-les-Dames,Doubs,Franche-Comte,7,6.36176,47.3527
FR53,Besancon,Doubs,Franche-Comte,7,6.0240539,47.237829
FR54,Ornans,Doubs,Franche-Comte,7,6.14701,47.106
FR55,Quingey,Doubs,Franche-Comte,7,5.88324,47.1031
FR56,Gray,Haute-Saone,Franche-Comte,7,5.59235,47.4458
FR57,Luxeuil-les-Bains,Haute-Saone,Franche-Comte,7,6.381111,47.8168409
FR58,Vesoul,Haute-Saone,Franche-Comte,7,6.15428,47.619788
FR59,Arbois,Jura,Franche-Comte,7,5.77234,46.9029
FR60,Dole,Jura,Franche-Comte,7,5.49081,47.09534
FR61,Lons-le-Saunier,Jura,Franche-Comte,7,5.5508,46.6714
FR62,Orgelet,Jura,Franche-Comte,7,5.61297,46.5225
FR63,Poligny,Jura,Franche-Comte,7,5.7091,46.8364
FR64,Saint-Claude,Jura,Franche-Comte,7,5.86777,46.3874
FR65,Salins-les-Bains,Jura,Franche-Comte,7,5.8758,46.9397
FR66,NA,NA,Franche-Comte,7,NA,NA
FR67,Evreux,Eure,Haute-Normandie,7,1.151361,49.0270129
FR68,Louviers,Eure,Haute-Normandie,7,1.1686123,49.2152477
FR69,NA,NA,Haute-Normandie,7,NA,NA
FR70,Arques-la-Bataille,Seine-Maritime,Haute-Normandie,7,1.125068,49.880241
FR71,Aumale,Seine-Maritime,Haute-Normandie,7,1.752119,49.76861
FR72,Caudebec-en-Caux,Seine-Maritime,Haute-Normandie,7,0.723336,49.525303
FR73,Le Havre,Seine-Maritime,Haute-Normandie,7,0.107929,49.49437
FR74,Londinieres,Seine-Maritime,Haute-Normandie,7,1.402787,49.832774
FR75,Rouen,Seine-Maritime,Haute-Normandie,7,1.099971,49.443232
FR76,Paris,Paris,Ile-de-France,7,2.3522219,48.856614
FR77,Brie-Comte-Robert,Seine-et-Marne,Ile-de-France,7,2.6103697,48.6912267
FR78,Chateau-Landon,Seine-et-Marne,Ile-de-France,7,2.704426,48.150232
FR79,Coulommiers,Seine-et-Marne,Ile-de-France,7,3.083497,48.813071
FR80,Provins,Seine-et-Marne,Ile-de-France,7,3.299203,48.560149
FR81,Saint-Denis,Seine-Saint-Denis,Ile-de-France,7,2.357443,48.936181
FR82,Ivry,Val-de-Marne,Ile-de-France,7,2.38822,48.813055
FR83,Mantes,Yvelines,Ile-de-France,7,1.714958,48.989323
FR84,Carcassonne,Aude,Languedoc-Roussillon,7,2.353663,43.212161
FR85,Boucoiran-et-Nozieres,Gard,Languedoc-Roussillon,7,4.1769749,43.9961062
FR86,Beziers,Herault,Languedoc-Roussillon,7,3.215795,43.344233
FR87,Montpellier,Herault,Languedoc-Roussillon,7,3.876716,43.610769
FR88,Les Salces,Lozere,Languedoc-Roussillon,7,3.162048,44.534143
FR89,Mende,Lozere,Languedoc-Roussillon,7,3.501873,44.517611
FR90,La Roche-l'Abeille,Haute-Vienne,Limousin,7,1.240181,45.596783
FR91,Amance,Meurthe-et-Moselle,Lorraine,7,6.27948,48.7543
FR92,Blamont,Meurthe-et-Moselle,Lorraine,7,6.84384,48.5894
FR93,Einville-au-jard,Meurthe-et-Moselle,Lorraine,7,6.48818,48.6551
FR94,Gondreville,Meurthe-et-Moselle,Lorraine,7,5.96373,48.6931
FR95,Luneville,Meurthe-et-Moselle,Lorraine,7,6.49234,48.5922
FR96,Nancy,Meurthe-et-Moselle,Lorraine,7,6.184417,48.692054
FR97,Pont-a-Mousson,Meurthe-et-Moselle,Lorraine,7,6.05487,48.9033
FR98,Preny,Meurthe-et-Moselle,Lorraine,7,5.99599,48.9789
FR99,Rosieres-aux-Salines,Meurthe-et-Moselle,Lorraine,7,6.33295,48.5954
FR100,Vaudemont,Meurthe-et-Moselle,Lorraine,7,6.05513,48.4169
FR101,Bar,Meuse,Lorraine,7,5.158238,48.773605
FR102,Verdun,Meuse,Lorraine,7,5.3844231,49.1598764
FR103,Bitche,Moselle,Lorraine,7,7.42728,49.0504
FR104,Boulay-Moselle,Moselle,Lorraine,7,6.4981099,49.184543
FR105,Cappel,Moselle,Lorraine,7,6.8585,49.0751
FR106,Chambourg,Moselle,Lorraine,7,6.14337,49.395
FR107,Dieuze,Moselle,Lorraine,7,6.71757,48.8103
FR108,Forbach,Moselle,Lorraine,7,6.8953,49.1865
FR109,Gorze,Moselle,Lorraine,7,5.998718,49.053754
FR110,Halfedanges,Moselle,Lorraine,7,6.52544,49.073894
FR111,Metz,Moselle,Lorraine,7,6.1757156,49.1193089
FR112,Morhange,Moselle,Lorraine,7,6.63579,48.9229
FR113,NA,Moselle,Lorraine,7,NA,NA
FR114,Puttelange-aux-Lacs,Moselle,Lorraine,7,6.92987,49.0532
FR115,Sarralbe,Moselle,Lorraine,7,7.02993,48.9996
FR116,Sarrebourg,Moselle,Lorraine,7,7.05259,48.7327
FR117,Sarreguemines,Moselle,Lorraine,7,7.07086,49.106
FR118,Sierck-les-Bains,Moselle,Lorraine,7,6.36101,49.4426
FR119,Thionville,Moselle,Lorraine,7,6.168426,49.357571
FR120,NA,NA,Lorraine,7,NA,NA
FR121,Arches,Vosges,Lorraine,7,6.52836,48.118
FR122,Bruyeres,Vosges,Lorraine,7,6.71947,48.2113
FR123,Charmes,Vosges,Lorraine,7,6.29325,48.3723
FR124,Chatel-sur-Moselle,Vosges,Lorraine,7,6.39335,48.3129
FR125,Darney,Vosges,Lorraine,7,6.04725,48.085
FR126,Dompaire,Vosges,Lorraine,7,6.2262,48.2212
FR127,Epinal,Vosges,Lorraine,7,6.4494,48.1724
